flag_country,unique_mmsi_per_flag_country_count
Chad,11
Paraguay,220
Anguilla,100
Macao,78
Yemen,45
Senegal,92
Sweden,8265
Kiribati,111
Guyana,111
Philippines,972
Eritrea,44
Djibouti,75
Singapore,5655
Malaysia,2667
Fiji,139
Turkey,4447
Malawi,30
Iraq,96
Germany,15943
Comoros,379
Crozet Archipelago,55
Cambodia,134
Afghanistan,41
Maldives,54
Saint Helena,55
Jordan,48
Rwanda,204
Ivory Coast,37
Sudan,80
Palau,565
Ascension Island,100
France,14854
Greece,2471
Sri Lanka,2139
Kerguelen Islands,56
Montserrat,22
Taiwan,4981
British Virgin Islands,552
Dominica,153
Togo,405
Algeria,166
Equatorial Guinea,81
Slovakia,197
Reunion,482
Argentina,1075
Belgium,3962
Angola,94
San Marino,87
Ecuador,670
Qatar,400
Lesotho,11
Pitcairn Island,149
Albania,748
Madagascar,88
Finland,2083
New Caledonia,220
Myanmar,1091
Ghana,113
Nicaragua,181
Sierra Leone,628
Peru,446
Benin,32
Cocos Islands,58
China,182169
Bahamas,1257
India,4493
Malta,4786
Kuwait,149
Sao Tome and Principe,173
Marshall Islands,5309
Tuvalu,320
Somalia,283
Chile,616
Puerto Rico,63
Martinique,173
Cayman Islands,1777
Croatia,977
Burundi,30
Nigeria,924
Andorra,695
Bolivia,87
Gabon,120
Italy,5871
Netherlands Antilles,129
Lithuania,189
Norway,12561
Turkmenistan,91
Spain,6895
Saint Pierre and Miquelon,63
Cuba,120
Mauritania,72
Tahiti,142
Guadeloupe,139
Denmark,7368
Central African Republic,141
Niger,23
Barbados,344
Bangladesh,181
Iran,3341
Alaska,205
Russian Federation,6642
Ireland,1030
Congo,91
Thailand,1695
Swaziland,79
Christmas Island,51
Bhutan,293
Morocco,240
Monaco,127
Panama,9251
Cape Verde,46
Hong Kong,3689
Nauru,43
Venezuela,1175
Ukraine,496
Iceland,1325
Israel,274
Saint Kitts and Nevis,411
USA,42645
Oman,153
North Korea,189
South Korea,8111
Cyprus,3779
Gibraltar,481
Palestine,27
Uruguay,263
Mexico,650
Georgia,198
Montenegro,88
Estonia,398
Indonesia,13333
Saint Vincent and the Grenadines,1033
Mongolia,418
Guatemala,75
Libya,66
Azerbaijan,348
Grenada,112
Armenia,79
Liberia,5480
Tunisia,107
Honduras,69
Syria,26
UK,21337
Trinidad and Tobago,125
Saudi Arabia,1008
Uganda,50
French Guiana,28
Namibia,148
Switzerland,1031
Zambia,40
Ethiopia,20
Jamaica,346
Latvia,263
United Arab Emirates,1005
Brunei,63
South Sudan,28
Saint Lucia,16
Guinea,35
Azores,583
Canada,6937
Seychelles,316
Samoa,57
Faroe Islands,393
Kyrgyzstan,53
Macedonia,22
Czech Republic,169
Mozambique,63
Cook Islands,840
Belize,798
Brazil,2605
Gambia,27
Lebanon,84
Antigua and Barbuda,737
Slovenia,115
Dominican Republic,35
Japan,9540
Tanzania,407
Botswana,64
Luxembourg,368
Falkland Islands,53
New Zealand,2075
Greenland,233
Bosnia and Herzegovina,18
Poland,1812
Portugal,1021
Cameroon,393
Australia,8251
Papua New Guinea,154
Romania,531
Guinea-Bissau,54
Bulgaria,478
Solomon Islands,27
Austria,607
Egypt,344
Kazakhstan,153
Costa Rica,112
Serbia,93
South Africa,839
Burkina Faso,32
Bermuda,326
Bahrain,2845
Micronesia,189
Colombia,346
Hungary,99
Pakistan,241
Vanuatu,572
Vatican City,197
Northern Mariana,27
Niue,127
Madeira,946
Mauritius,152
Moldova,155
Vietnam,22226
Netherlands,20229
Adelie Land,34
Belarus,27
American Samoa,30
Suriname,20
Saint Paul and Amsterdam Islands,9
Liechtenstein,38
Haiti,37
El Salvador,43
Wallis and Futuna Islands,40
Laos,31
Kenya,39
Nepal,26
Turks and Caicos Islands,25
Tajikistan,18
US Virgin Islands,11
Tonga,26
Uzbekistan,15
Mali,5
Aruba,6
Zimbabwe,3
